t	Re	Nu	q	alpha	P	v	T1	T2	T3	T4	deltaT	L

2/4/2025 1:47:12 PM	8358	112	250	29.1	5.0	1.34	23.2	23.3	23.4	31.8	8.6	0.100

2/4/2025 1:47:12 PM	8358	112	250	29.1	5.0	1.34	23.2	23.3	23.4	31.8	8.6	0.100

2/4/2025 1:47:12 PM	8358	112	250	29.1	5.0	1.34	23.2	23.3	23.4	31.8	8.6	0.100

2/4/2025 1:46:48 PM	8359	112	250	29.0	5.0	1.35	23.1	23.3	23.4	31.8	8.6	0.100

2/4/2025 1:47:02 PM	8420	112	250	29.0	5.0	1.34	23.2	23.3	23.4	31.8	8.6	0.100

2/4/2025 1:47:11 PM	8483	112	250	29.0	5.0	1.34	23.1	23.3	23.4	31.8	8.6	0.100

2/4/2025 1:46:56 PM	8483	112	250	29.0	5.0	1.36	23.1	23.3	23.4	31.8	8.6	0.100

2/4/2025 1:46:44 PM	8484	112	250	28.9	5.0	1.34	23.1	23.3	23.4	31.8	8.7	0.100

2/4/2025 1:46:59 PM	8545	112	250	29.1	5.0	1.37	23.2	23.3	23.4	31.8	8.6	0.100

2/4/2025 1:46:52 PM	8608	112	250	29.0	5.0	1.38	23.1	23.3	23.4	31.8	8.6	0.100

2/4/2025 1:46:39 PM	8608	112	250	28.9	5.0	1.38	23.1	23.3	23.4	31.8	8.7	0.100

2/4/2025 1:47:10 PM	8732	112	250	29.0	5.0	1.40	23.2	23.3	23.4	31.8	8.6	0.100

2/4/2025 1:47:06 PM	8794	112	250	29.0	5.0	1.41	23.2	23.3	23.4	31.8	8.6	0.100

2/4/2025 1:46:40 PM	8796	112	250	28.9	5.0	1.40	23.1	23.3	23.4	31.8	8.7	0.100

