title,intro
G.U.N.T. Geraetebau GmbH
WL440
Plate
Trial1Exp220W
Graph 1
t	Re	Nu	q	alpha	P	v	T1	T2	T3	T4	deltaT	L
2/4/2025 1:01:02 PM	0	37	506	10.2	10.1	0.00	24.0	28.2	23.5	73.7	49.7	0.100
2/4/2025 1:01:18 PM	0	37	506	10.2	10.1	0.00	24.0	28.2	23.5	73.6	49.6	0.100
2/4/2025 1:12:36 PM	7599	104	1000	27.8	20.0	1.32	23.3	23.9	23.3	59.3	36.0	0.100
2/4/2025 1:13:00 PM	7658	104	1000	27.8	20.0	1.33	23.3	24.0	23.3	59.2	35.9	0.100
2/4/2025 1:12:42 PM	7714	104	1000	27.8	20.0	1.34	23.3	24.0	23.3	59.3	36.0	0.100
2/4/2025 1:12:15 PM	7770	103	1000	27.8	20.0	1.37	23.3	23.9	23.3	59.3	36.1	0.100
2/4/2025 1:12:22 PM	7771	104	1000	27.8	20.0	1.34	23.3	23.9	23.3	59.3	36.0	0.100
2/4/2025 1:12:26 PM	7771	104	1000	27.8	20.0	1.37	23.3	23.9	23.3	59.3	36.0	0.100
2/4/2025 1:12:29 PM	7772	103	1000	27.8	20.0	1.35	23.3	24.0	23.3	59.3	36.0	0.100
2/4/2025 1:12:57 PM	7773	104	1000	27.8	20.0	1.34	23.3	23.9	23.3	59.2	35.9	0.100
2/4/2025 1:12:16 PM	7827	103	1000	27.8	20.0	1.36	23.3	24.0	23.3	59.3	36.0	0.100
2/4/2025 1:12:19 PM	7828	103	1000	27.8	20.0	1.33	23.3	23.9	23.3	59.3	36.0	0.100
2/4/2025 1:12:48 PM	7830	104	1000	27.8	20.0	1.37	23.3	24.0	23.3	59.2	36.0	0.100
2/4/2025 1:12:32 PM	7944	103	1000	27.8	20.0	1.38	23.3	23.9	23.3	59.3	36.0	0.100
2/4/2025 1:12:53 PM	7945	104	1000	27.8	20.0	1.38	23.3	24.0	23.3	59.2	36.0	0.100
